지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22189,2016-08,2.4,1010.1,73,28.2,29.4,1,0.6,0.9,1.4,6.1,7.1
22189,2016-08,3,1009.6,76,29.1,29.3,0.8,0.5,0.5,0.9,6.8,8
22189,2016-08,5.1,1007.3,83,29.4,29.8,0.9,0.5,0.7,1.3,4.9,7.1
22189,2016-08,7.1,1005.2,78,30.6,30.5,1.3,0.8,1.2,2.1,3.4,4.3
22189,2016-08,5.7,1003.4,77,30.3,29.9,1.1,0.6,1,1.6,3.6,4
22189,2016-08,3,1001.5,79,29.7,30.5,0.8,0.5,0.9,1.4,3.6,4.3
22189,2016-08,5.7,1001.4,76,28,30.4,1.3,0.8,1.1,1.9,4.6,5.8
22189,2016-08,4.9,1003.8,73,28.6,30.4,1.1,0.7,0.8,1.4,4.4,5.3
22189,2016-08,5.3,1006.3,74,28.4,30.2,1,0.6,0.8,1.5,4.3,5.3
22189,2016-08,5.9,1007,77,28.4,30,1.6,0.9,1.2,2.1,5.6,6.4
22189,2016-08,7.5,1006.6,72,28.2,29.4,1.7,1,1.4,2.3,5.1,5.8
22189,2016-08,7.8,1005.6,81,28.3,29,2.1,1.2,1.6,2.6,5.5,6.4
22189,2016-08,7.4,1006.3,77,28.3,28.7,1.8,1.1,1.3,2.2,5,5.3
22189,2016-08,7,1007.1,72,27.7,28.9,1.6,1,1.3,2.2,4.7,5.8
22189,2016-08,6.5,1007.2,72,27.5,28.6,1.8,1.2,1.4,2.3,5.4,6.4
22189,2016-08,4.3,1005.2,81,28.4,28.8,1.3,0.8,1,1.7,5.2,5.8
22189,2016-08,10.7,1007.5,76,25.4,27.5,4.1,2.5,4.5,7.7,7.2,10.7
22189,2016-08,10,1008.1,62,24.7,26.7,3.5,2.1,2.9,4.9,6.9,8
22189,2016-08,11.8,1000.4,82,22.5,26.5,4.2,2.6,3.7,6.2,6.8,9.1
22189,2016-08,12.6,998.2,67,22.8,25.6,6.8,4.2,4.9,8.9,9.2,10.7
22189,2016-08,8.7,992.1,58,24.1,25.2,4.6,2.8,3.8,6.9,10.1,10.7
22189,2016-08,13.6,993.3,66,25.1,24.5,5,3,4,6.4,7.8,10.7
22189,2016-09,9.5,1004.6,78,25.7,24.8,3.1,1.9,2.9,5.3,6.4,10.7
